id	identification
GB_GCA_002506705.1	MGIIa-K1 sp002506705
GB_GCA_002687735.1	UBA493 sp002687735
GB_GCA_002256595.1	Methanothrix sp002256595
GB_GCA_002725275.1	Poseidonia sp002725275
GB_GCA_002457605.1	Thalassarchaeum sp002457605
RS_GCF_002114285.1	Halorubrum ezzemoulense
RS_GCF_000194625.1	Archaeoglobus_C veneficus
GB_GCA_002503285.1	MGIIb-O3 sp002503285
GB_GCA_900317865.1	Methanobrevibacter_A sp900317865
RS_GCF_002286985.1	Halorubrum sp002286985
RS_GCF_000970205.1	Methanosarcina mazei
GB_GCA_002502365.1	MGIIb-O1 sp002502365
GB_GCA_002694245.1	MGIIa-K1 sp002694245
GB_GCA_002701965.1	MGIIb-P sp002701965
GB_GCA_001563325.1	SMTZ1-83 sp001563325
RS_GCF_000011205.1	Sulfurisphaera tokodaii
GB_GCA_001421185.1	DTU008 sp001421185
RS_GCF_001488575.1	Halobacterium hubeiense
RS_GCF_900188065.1	Halorubrum vacuolatum
GB_GCA_002495485.1	40CM-2-53-6 sp002495485
GB_GCA_001889985.1	Micrarchaeum acidiphilum
RS_GCF_000337515.1	Halovivax asiaticus
RS_GCF_002078355.1	Ferroplasma acidiphilum
GB_GCA_002506535.1	Methanothrix_A harundinacea_B
RS_GCF_900107665.1	Haloplanus vescus
RS_GCF_000328665.1	Methanomethylovorans hollandica
GB_GCA_002503205.1	UBA447 sp002503205
GB_GCA_002495235.1	UBA287 sp002495235
GB_GCA_002503665.1	MGIIb-N2 sp002503665
RS_GCF_000337895.1	Halobiforma nitratireducens
RS_GCF_002214485.1	Thermococcus pacificus
GB_GCA_001315825.1	Metallosphaera hakonensis
GB_GCA_003266145.1	Methanosphaera sp003266145
GB_GCA_002011215.1	Archaeoglobus_A sp002011215
RS_GCF_000336775.1	Haloferax gibbonsii
RS_GCF_000092185.1	Thermosphaera aggregans
RS_GCF_000265525.1	Thermococcus cleftensis
GB_GCA_002686525.1	MGIIb-O2 sp002686525
RS_GCF_000337555.1	Natrialba asiatica
GB_GCA_002412085.1	Parvarchaeum acidophilus
GB_GCA_002497895.1	MGIIb-O1 sp002497895
GB_GCA_002254595.1	EX4484-15 sp002254595
RS_GCF_000025525.1	Methanocaldococcus sp000025525
GB_GCA_900314695.1	Methanobrevibacter_A sp900314695
GB_GCA_001510295.1	Nitrosopelagicus sp001510295
RS_GCF_001484195.1	Thermococcus celericrescens
GB_GCA_001412335.1	SD8 sp001412335
GB_GCA_002497985.1	MGIIb-O5 sp002497985
GB_GCA_002011355.1	JdFR-43 sp002011355
GB_GCA_003022005.1	QS-5-70-15 sp003022005
RS_GCF_000091665.1	Methanocaldococcus jannaschii
GB_GCA_001273335.1	SG8-32-3 sp001273335
GB_GCA_003020985.1	QS-4-70-19 sp003020985
GB_GCA_002505405.1	Poseidonia alphae
GB_GCA_002497285.1	UBA92 sp002497285
RS_GCF_000235565.1	Methanothrix_A harundinacea
UBA10216	UBA10216 sp10216u
GB_GCA_000405685.1	JGI-0000106-J15 sp000405685
RS_GCF_000336635.1	Haloarcula japonica
GB_GCA_002503825.1	UBA467 sp002503825
GB_GCA_002506175.1	ISO4-G1 sp002506175
RS_GCF_000006805.1	Halobacterium salinarum
GB_GCA_002501655.1	Methanoculleus sp002501655
UBA10205	UBA10205 sp10205u
GB_GCA_002502855.1	UBA419 sp002502855
GB_GCA_001717025.1	Methanomethylicus oleusabulum
GB_GCA_002412065.1	Parvarchaeum acidiphilum
GB_GCA_002726275.1	MGIIb-O5 sp002726275
RS_GCF_900112175.1	Halogeometricum rufum
GB_GCA_001564035.1	B1-Br10-U2g21 sp001564035
GB_GCA_002499015.1	MGIIa-L1 sp002499015
GB_GCA_002509665.1	Methanobacterium_D sp002509665
GB_GCA_002497075.1	UBA472 sp002497075
RS_GCF_900110535.1	Halobacterium jilantaiense
GB_GCA_001443365.1	CSP1-1 sp001443365
GB_GCA_002317795.1	Nitrosopumilus sp002317795
GB_GCA_003161815.1	Bog-22 sp003161815
GB_GCA_000387965.1	Nanopusillus stetteri
RS_GCF_000336995.1	Halorubrum aidingense
RS_GCF_000513315.1	Methanobrevibacter_C arboriphilus_A
GB_GCA_000309865.1	Methanobacterium sp000309865
GB_GCA_900314615.1	Methanobrevibacter_A sp900314615
GB_GCA_002688265.1	GCA-2688265 sp002688265
RS_GCF_000011085.1	Haloarcula marismortui
GB_GCA_002723635.1	MGIIa-L3 sp002723635
RS_GCF_000710615.1	Haladaptatus cibarius
GB_GCA_001593855.1	B25 sp001593855
RS_GCF_900110215.1	Halorientalis persicus
RS_GCF_000828575.1	Methanothermobacter sp000828575
GB_GCA_002504845.1	MGIIb-N1 sp002504845
UBA10136	GW2011-AR17 sp10136u
RS_GCF_000022365.1	Thermococcus gammatolerans
GB_GCA_003022085.1	Halovenus sp003022085
RS_GCF_900109595.1	Methanobrevibacter_A gottschalkii
GB_GCA_002728565.1	MGIIb-O3 sp002728565
GB_GCA_002497295.1	MGIIb-N1 sp002497295
RS_GCF_002214465.1	Thermococcus barossii
RS_GCF_000025505.1	Ferroglobus placidus
GB_GCA_002010975.1	JdFR-07 sp002010975
GB_GCA_002506875.1	MGIIb-N2 sp002506875
GB_GCA_002698145.1	MGIIa-L2 sp002698145
GB_GCA_003230355.1	SZUA-236 sp003230355
GB_GCA_002509495.1	Methanolinea sp002509495
UBA10207	UBA525 sp10207u
GB_GCA_001316325.1	Methanobacterium formicicum
UBA11803	Methanoregula sp11803u
GB_GCA_002779235.1	0-14-0-80-44-23 sp002779235
RS_GCF_001953745.1	Natrinema saccharevitans
GB_GCA_003141335.1	Methanoregula sp003141335
GB_GCA_003022925.1	QS-8-65-32 sp003022925
GB_GCA_001595945.1	SM1-50 sp001595945
GB_GCA_002719475.1	UBA226 sp002719475
GB_GCA_000328525.1	Halovivax ruber
RS_GCF_001485575.1	Haloarcula sp001485575
GB_GCA_002697105.1	MGIIb-N2 sp002697105
RS_GCF_000745485.1	Methanobacterium_D veterum
GB_GCA_001399795.1	BA2 sp001399795
GB_GCA_003020965.1	QS-1-69-70 sp003020965
GB_GCA_002688395.1	ARS1403 sp002688395
UBA9989	UBA9989 sp9989u
RS_GCF_002025255.1	Halolamina sp002025255
RS_GCF_000328685.1	Natronococcus occultus
GB_GCA_001761425.1	SG9 sp001761425
RS_GCF_000337415.1	Halorubrum tebenquichense
GB_GCA_002494765.1	UBA186 sp002494765
GB_GCA_002722135.1	MGIIa-L3 sp002722135
GB_GCA_002502605.1	MGIIa-L1 sp002502605
RS_GCF_000337675.1	Natronococcus amylolyticus
RS_GCF_900114435.1	Halomicrobium zhouii
GB_GCA_002495325.1	Methanomethylophilus sp002495325
GB_GCA_002506275.1	MGIIa-L1 sp002506275
GB_GCA_002009975.1	Thermococcus_C sp002009975
RS_GCF_002787055.1	Nitrosotenuis sp002787055
GB_GCA_001563885.1	B1-Br10-E2g2 sp001563885
GB_GCA_003152955.1	FEN-987 sp003152955
GB_GCA_003019535.1	ECH-B-1 sp003019535
GB_GCA_002719815.1	MGIIa-L2 sp002719815
GB_GCA_002498205.1	MGIIa-I sp002498205
GB_GCA_002494885.1	Methanobacterium_D sp002494885
GB_GCA_002683155.1	MGIIb-O3 sp002683155
GB_GCA_001563875.1	B1-Br10-U2g19 sp001563875
RS_GCF_000166095.1	Methanothermus fervidus
GB_GCA_002710015.1	MGIIa-K1 sp002710015
RS_GCF_000148385.1	Vulcanisaeta distributa
GB_GCA_002505685.1	MGIIb-P sp002505685
GB_GCA_002496565.1	Methanosarcina sp002496565
GB_GCA_900321995.1	Methanobrevibacter sp900321995
RS_GCF_000337455.1	Halosimplex carlsbadense
GB_GCA_002763335.1	CG1-02-47-18 sp002763335
RS_GCF_000632495.1	Acidianus copahuensis
GB_GCA_003034855.1	PZKD01 sp003034855
RS_GCF_001571405.1	Methanoculleus thermophilus
GB_GCA_002457555.1	MGIIb-O1 sp002457555
UBA10200	UBA10200 sp10200u
UBA9653	UBA9653 sp9653u
RS_GCF_900112205.1	Halobiforma haloterrestris
RS_GCF_900156475.1	Natronorubrum thiooxidans
GB_GCA_002499705.1	MGIIa-L1 sp002499705
GB_GCA_002687825.1	ARS1403 sp002687825
GB_GCA_001563335.1	SMTZ1-45 sp001563335
GB_GCA_001595915.1	SG8-52-3 sp001595915
GB_GCA_000806155.1	GW2011-AR18 sp000806155
RS_GCF_002355635.1	Halopenitus persicus_A
GB_GCA_002495645.1	Poseidonia sp002495645
GB_GCA_900313645.1	Methanobrevibacter_A sp900313645
RS_GCF_001989615.1	Halorientalis sp001989615
RS_GCF_001886955.1	Halodesulfurarchaeum formicicum
GB_GCA_003194435.1	G60ANME1 sp003194435
GB_GCA_001189275.1	Pyrobaculum sp001189275
RS_GCF_000152265.2	Ferroplasma acidarmanus
GB_GCA_002499455.1	Methanoculleus sp002499455
GB_GCA_002509085.1	UBA588 sp002509085
GB_GCA_002789635.1	CG10238-14 sp002789635
GB_GCA_002687795.1	GCA-2687795 sp002687795
GB_GCA_002457195.1	MGIIb-P sp002457195
GB_GCA_002506015.1	UBA203 sp002506015
UBA10210	UBA10210 sp10210u
